GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,2000,2000,,,USA,United States of America,,,,,,,,GHE060,Noncommunicable diseases,,,,,"20,107",20107.09961,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,2012,2012,,,USA,United States of America,,,,,,,,GHE000,All Causes,,,,,"22,775",22775.19922,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,2012,2012,,,USA,United States of America,,,,,,,,GHE151,Injuries,,,,,12,12.00000,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,,,,MLE,Male,,,,,,,,145,145.30790,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,2002,2002,,,USA,United States of America,,,,,BTSX,Both sexes,,,,,,,,115,114.89800,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,,,,MLE,Male,,,,,,,,142,141.84370,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,2005,2005,,,USA,United States of America,,,,,BTSX,Both sexes,,,,,,,,112,112.32230,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2007,2007,,AMR,Americas,,,2007,2007,,,USA,United States of America,,,,,FMLE,Female,,,,,,,,81,80.50507,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2008,2008,,AMR,Americas,,,2008,2008,,,USA,United States of America,,,,,MLE,Male,,,,,,,,137,136.65990,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2008,2008,,AMR,Americas,,,2008,2008,,,USA,United States of America,,,,,BTSX,Both sexes,,,,,,,,108,108.47300,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,2010,2010,,,USA,United States of America,,,,,FMLE,Female,,,,,,,,78,78.26348,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2011,2011,,AMR,Americas,,,2011,2011,,,USA,United States of America,,,,,MLE,Male,,,,,,,,132,131.69090,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2013,2013,,AMR,Americas,,,2013,2013,,,USA,United States of America,,,,,FMLE,Female,,,,,,,,79,79.49693,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,2014,2014,,,USA,United States of America,,,,,MLE,Male,,,,,,,,131,131.20700,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,2015,2015,,,USA,United States of America,,,,,BTSX,Both sexes,,,,,,,,110,110.43850,,,,,
