,GHO (CODE),GHO (DISPLAY),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),SEX (CODE),SEX (DISPLAY),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),Numeric
1,GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2000,2000,,USA,United States of America,,,,,,,20107.09961
2,GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2012,2012,,USA,United States of America,,,,,,,22775.19922
3,WHS2_126,Distribution of years of life lost by major cause group,2012,2012,,USA,United States of America,,,,,,,12.00000
4,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2002,2002,,USA,United States of America,,,MLE,Male,,,145.30790
5,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2002,2002,,USA,United States of America,,,BTSX,Both sexes,,,114.89800
6,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2005,2005,,USA,United States of America,,,MLE,Male,,,141.84370
7,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2005,2005,,USA,United States of America,,,BTSX,Both sexes,,,112.32230
8,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2007,2007,,USA,United States of America,,,FMLE,Female,,,80.50507
9,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2008,2008,,USA,United States of America,,,MLE,Male,,,136.65990
10,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2008,2008,,USA,United States of America,,,BTSX,Both sexes,,,108.47300
11,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2010,2010,,USA,United States of America,,,FMLE,Female,,,78.26348
12,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2011,2011,,USA,United States of America,,,MLE,Male,,,131.69090
13,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2013,2013,,USA,United States of America,,,FMLE,Female,,,79.49693
14,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2014,2014,,USA,United States of America,,,MLE,Male,,,131.20700
15,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2015,2015,,USA,United States of America,,,BTSX,Both sexes,,,110.43850
