DIM_COUNTRY_CODE,DIM_YEAR_CODE,DIM_AGEGROUP_CODE,DIM_SEX_CODE,DIM_GHECAUSE_CODE,ATTR_POPULATION_NUMERIC,DIM_GHECAUSE_TITLE,VAL_DALY_RATE100K_NUMERIC,VAL_DALY_COUNT_NUMERIC,VAL_DEATHS_RATE100K_NUMERIC,VAL_DEATHS_COUNT_NUMERIC
USA,2000,ALLAges,BTSX,1130,282000000,Ischaemic heart disease,3494.57,9854699.0,214.42,604674.2
USA,2001,ALLAges,BTSX,1130,285000000,Ischaemic heart disease,3391.24,9665041.0,207.94,592640.8
USA,2002,ALLAges,BTSX,1130,287000000,Ischaemic heart disease,3330.55,9558671.0,203.74,584739.8
USA,2003,ALLAges,BTSX,1130,290000000,Ischaemic heart disease,3229.69,9366098.0,197.12,571639.9
USA,2004,ALLAges,BTSX,1130,292000000,Ischaemic heart disease,3054.78,8919968.0,185.27,540981.5
USA,2005,ALLAges,BTSX,1130,295000000,Ischaemic heart disease,3004.95,8864591.0,182.41,538121.0
USA,2006,ALLAges,BTSX,1130,298000000,Ischaemic heart disease,2887.89,8605926.0,173.31,516455.0
USA,2007,ALLAges,BTSX,1130,301000000,Ischaemic heart disease,2750.68,8279534.0,164.55,495293.1
USA,2008,ALLAges,BTSX,1130,303000000,Ischaemic heart disease,2734.61,8285869.0,163.87,496540.0
USA,2009,ALLAges,BTSX,1130,306000000,Ischaemic heart disease,2621.23,8020971.0,155.96,477249.1
USA,2019,ALLAges,BTSX,1130,329000000,Ischaemic heart disease,2605.2,8571094.0,153.47,504903.9
USA,2010,ALLAges,BTSX,1130,309000000,Ischaemic heart disease,2562.59,7918396.0,152.83,472234.2
USA,2018,ALLAges,BTSX,1130,327000000,Ischaemic heart disease,2573.14,8414166.0,151.78,496312.3
USA,2011,ALLAges,BTSX,1130,312000000,Ischaemic heart disease,2522.98,7871705.0,150.1,468314.9
USA,2012,ALLAges,BTSX,1130,314000000,Ischaemic heart disease,2508.59,7876961.0,148.81,467255.8
USA,2013,ALLAges,BTSX,1130,316000000,Ischaemic heart disease,2508.01,7925296.0,148.71,469917.3
USA,2015,ALLAges,BTSX,1130,321000000,Ischaemic heart disease,2499.91,8024706.0,147.6,473809.3
USA,2017,ALLAges,BTSX,1130,325000000,Ischaemic heart disease,2527.93,8215764.0,147.43,479159.6
USA,2016,ALLAges,BTSX,1130,323000000,Ischaemic heart disease,2516.32,8127708.0,146.63,473622.9
USA,2014,ALLAges,BTSX,1130,319000000,Ischaemic heart disease,2478.48,7906366.0,145.94,465549.4
USA,2019,ALLAges,BTSX,950,329000000,Alzheimer disease and other dementias,1166.29,3837090.0,87.29,287198.4
USA,2018,ALLAges,BTSX,950,327000000,Alzheimer disease and other dementias,1134.0,3708195.0,85.02,278026.4
USA,2017,ALLAges,BTSX,950,325000000,Alzheimer disease and other dementias,1092.23,3549763.0,81.46,264737.5
USA,2016,ALLAges,BTSX,950,323000000,Alzheimer disease and other dementias,1051.77,3397209.0,78.17,252496.7
USA,2015,ALLAges,BTSX,950,321000000,Alzheimer disease and other dementias,1032.06,3312921.0,77.47,248682.9
USA,2014,ALLAges,BTSX,950,319000000,Alzheimer disease and other dementias,1017.68,3246391.0,76.12,242818.7
USA,2013,ALLAges,BTSX,950,316000000,Alzheimer disease and other dementias,1008.38,3186481.0,75.42,238314.6
USA,2012,ALLAges,BTSX,950,314000000,Alzheimer disease and other dementias,976.4,3065900.0,72.66,228155.4
USA,2011,ALLAges,BTSX,950,312000000,Alzheimer disease and other dementias,943.23,2942886.0,69.66,217330.4
USA,2010,ALLAges,BTSX,950,309000000,Alzheimer disease and other dementias,893.71,2761578.0,64.8,200244.3
USA,2000,ALLAges,BTSX,1140,282000000,Stroke,1177.5,3320540.0,61.0,172034.0
USA,2008,ALLAges,BTSX,950,303000000,Alzheimer disease and other dementias,851.56,2580234.0,60.12,182177.6
USA,2019,ALLAges,BTSX,1180,329000000,Chronic obstructive pulmonary disease,1535.8,5052790.0,59.39,195387.0
USA,2009,ALLAges,BTSX,950,306000000,Alzheimer disease and other dementias,840.58,2572189.0,59.1,180843.3
USA,2001,ALLAges,BTSX,1140,285000000,Stroke,1146.49,3267497.0,58.97,168071.2
USA,2002,ALLAges,BTSX,1140,287000000,Stroke,1138.07,3266247.0,58.31,167355.8
USA,2018,ALLAges,BTSX,1180,327000000,Chronic obstructive pulmonary disease,1503.9,4917737.0,58.0,189671.2
USA,2003,ALLAges,BTSX,1140,290000000,Stroke,1112.53,3226339.0,56.14,162802.2
USA,2017,ALLAges,BTSX,1180,325000000,Chronic obstructive pulmonary disease,1467.86,4770545.0,56.09,182293.7
USA,2000,ALLAges,BTSX,680,282000000,"Trachea, bronchus, lung cancers",1241.37,3500671.0,55.71,157092.7
