,GHO (CODE),GHO (DISPLAY),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),SEX (CODE),SEX (DISPLAY),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY)
1,GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2000,2000,,USA,United States of America,,,,,,
2,GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2012,2012,,USA,United States of America,,,,,,
3,WHS2_126,Distribution of years of life lost by major cause group,2012,2012,,USA,United States of America,,,,,,
4,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2002,2002,,USA,United States of America,,,MLE,Male,,
5,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2002,2002,,USA,United States of America,,,BTSX,Both sexes,,
6,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2005,2005,,USA,United States of America,,,MLE,Male,,
7,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2005,2005,,USA,United States of America,,,BTSX,Both sexes,,
8,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2007,2007,,USA,United States of America,,,FMLE,Female,,
9,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2008,2008,,USA,United States of America,,,MLE,Male,,
10,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2008,2008,,USA,United States of America,,,BTSX,Both sexes,,
11,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2010,2010,,USA,United States of America,,,FMLE,Female,,
12,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2011,2011,,USA,United States of America,,,MLE,Male,,
13,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2013,2013,,USA,United States of America,,,FMLE,Female,,
14,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2014,2014,,USA,United States of America,,,MLE,Male,,
15,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2015,2015,,USA,United States of America,,,BTSX,Both sexes,,
16,WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2016,2016,,USA,United States of America,,,FMLE,Female,,
17,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,YEARS0-4,0-4 years,,,CH2,HIV/AIDS
18,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,YEARS0-4,0-4 years,,,CH3,Diarrhoeal diseases
19,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria
20,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections
21,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity
22,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma
23,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH12,Sepsis and other infectious conditions of the newborn
24,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,DAYS0-27,0-27 days,,,CH13,"Other communicable, perinatal and nutritional conditions"
25,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,2000,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries
26,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS
27,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases
28,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus
29,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH6,Measles
30,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH7,Meningitis/encephalitis
31,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,MONTHS1-59,1-59 months,,,CH8,Malaria
32,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity
33,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma
34,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn
35,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions"
36,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies
37,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH16,Other noncommunicable diseases
38,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,2001,,USA,United States of America,YEARS0-4,0-4 years,,,CH17,Injuries
39,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH6,Measles
40,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis
41,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria
42,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections
43,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH10,Prematurity
44,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,DAYS0-27,0-27 days,,,CH11,Birth asphyxia and birth trauma
45,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,MONTHS1-59,1-59 months,,,CH15,Congenital anomalies
46,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,MONTHS1-59,1-59 months,,,CH16,Other noncommunicable diseases
47,MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries
48,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS
49,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,MONTHS1-59,1-59 months,,,CH3,Diarrhoeal diseases
50,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,MONTHS1-59,1-59 months,,,CH5,Tetanus
51,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria
52,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH9,Acute lower respiratory infections
53,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH10,Prematurity
54,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH11,Birth asphyxia and birth trauma
55,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH12,Sepsis and other infectious conditions of the newborn
56,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH13,"Other communicable, perinatal and nutritional conditions"
57,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,,USA,United States of America,YEARS0-4,0-4 years,,,CH15,Congenital anomalies
58,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH3,Diarrhoeal diseases
59,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH5,Tetanus
60,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH6,Measles
61,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH7,Meningitis/encephalitis
62,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH8,Malaria
63,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,DAYS0-27,0-27 days,,,CH9,Acute lower respiratory infections
64,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH12,Sepsis and other infectious conditions of the newborn
65,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH13,"Other communicable, perinatal and nutritional conditions"
66,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH15,Congenital anomalies
67,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH16,Other noncommunicable diseases
68,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,2004,,USA,United States of America,MONTHS1-59,1-59 months,,,CH17,Injuries
69,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,MONTHS1-59,1-59 months,,,CH2,HIV/AIDS
70,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH6,Measles
71,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH7,Meningitis/encephalitis
72,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,,USA,United States of America,YEARS0-4,0-4 years,,,CH8,Malaria
